id,name,parent
1,Jakarta,
2,Jawa Barat,
3,Yogyakarta,
4,Jakarta Pusat,Jakarta
5,Jakarta Barat,Jakarta
6,Jakarta Selatan,Jakarta
7,Jakarta Utara,Jakarta
8,Jakarta Timur,Jakarta
9,Bandung,Jawa Barat
10,Garut,Jawa Barat
11,Bogor,Jawa Barat
12,Sumedang,Jawa Barat
13,Cianjur,Jawa Barat
14,Sukabumi,Jawa Barat
15,Bekasi,Jawa Barat
16,Subang,Jawa Barat
17,Majalengka,Jawa Barat
18,Ciamis,Jawa Barat
19,Banjar,Jawa Barat
20,Indramayu,Jawa Barat
21,Kuningan,Jawa Barat
22,Kota Yogyakarta,Yogyakarta
23,Sleman,Yogyakarta
24,Bantul,Yogyakarta
25,Wonosari,Yogyakarta
26,Kulon Progo,Yogyakarta
